time,output,consumption
2024-07-19 19:05:00,3025,80
2024-07-19 19:10:00,2945,144
2024-07-19 19:15:00,2868,196
2024-07-19 19:20:00,2793,202
2024-07-19 19:25:00,2690,180
2024-07-19 19:30:00,2563,148
2024-07-19 19:35:00,2395,112
2024-07-19 19:40:00,2231,80
2024-07-19 19:45:00,2122,80
2024-07-19 19:50:00,1999,110
2024-07-19 19:55:00,1846,168
2024-07-19 20:00:00,1721,156
2024-07-19 20:05:00,1620,150
2024-07-19 20:10:00,1467,214
2024-07-19 20:15:00,1366,256
2024-07-19 20:20:00,1230,194
2024-07-19 20:25:00,1077,200
2024-07-19 20:30:00,906,198
2024-07-19 20:35:00,779,180
2024-07-19 20:40:00,663,172
2024-07-19 20:45:00,473,186
2024-07-19 20:50:00,319,342
2024-07-19 20:55:00,152,256
2024-07-19 21:00:00,97,138
2024-07-19 21:05:00,60,104
2024-07-19 21:10:00,34,90
2024-07-19 21:15:00,12,70
2024-07-19 21:20:00,0,42
2024-07-19 21:25:00,0,40
2024-07-19 21:30:00,0,40
2024-07-19 21:35:00,0,36
2024-07-19 21:40:00,0,26
2024-07-19 21:45:00,0,20
2024-07-19 21:50:00,0,16
2024-07-19 21:55:00,0,10
2024-07-19 22:00:00,0,10
2024-07-19 22:05:00,0,10
2024-07-19 22:10:00,0,10
2024-07-19 22:15:00,0,10
2024-07-19 22:20:00,0,6
2024-07-19 22:25:00,0,0
2024-07-19 22:30:00,0,0
2024-07-19 22:35:00,0,0
2024-07-19 22:40:00,0,0
2024-07-19 22:45:00,0,0
2024-07-19 22:50:00,0,0
2024-07-19 22:55:00,0,0
2024-07-19 23:00:00,0,0
2024-07-19 23:10:00,0,0
2024-07-19 23:15:00,0,0
2024-07-19 23:20:00,0,0
2024-07-19 23:25:00,0,0
2024-07-19 23:30:00,0,0
2024-07-19 23:35:00,0,0
2024-07-19 23:40:00,0,0
2024-07-19 23:45:00,0,0
2024-07-19 23:50:00,0,0
2024-07-19 23:55:00,0,0
2024-07-20 00:00:00,0,0
2024-07-20 00:05:00,0,0
2024-07-20 00:10:00,0,10
2024-07-20 00:15:00,0,10
2024-07-20 00:20:00,0,10
2024-07-20 00:25:00,0,10
2024-07-20 00:30:00,0,10
2024-07-20 00:35:00,0,10
2024-07-20 00:40:00,0,10
2024-07-20 00:45:00,0,10
2024-07-20 00:50:00,0,10
2024-07-20 00:55:00,0,10
2024-07-20 01:00:00,0,10
2024-07-20 01:05:00,0,10
2024-07-20 01:10:00,0,10
2024-07-20 01:15:00,0,10
2024-07-20 01:20:00,0,10
2024-07-20 01:25:00,0,10
2024-07-20 01:30:00,0,10
2024-07-20 01:35:00,0,10
2024-07-20 01:40:00,0,10
2024-07-20 01:45:00,0,10
2024-07-20 01:50:00,0,10
2024-07-20 01:55:00,0,10
2024-07-20 02:00:00,0,10
2024-07-20 02:05:00,0,10
2024-07-20 02:10:00,0,10
2024-07-20 02:15:00,0,10
2024-07-20 02:20:00,0,10
2024-07-20 02:25:00,0,10
2024-07-20 02:30:00,0,10
2024-07-20 02:35:00,0,10
2024-07-20 02:40:00,0,10
2024-07-20 02:45:00,0,10
2024-07-20 02:50:00,0,10
2024-07-20 02:55:00,0,10
2024-07-20 03:00:00,0,10
2024-07-20 03:05:00,0,0
2024-07-20 03:10:00,0,0
2024-07-20 03:15:00,0,0
2024-07-20 03:20:00,0,0
2024-07-20 03:25:00,0,0
2024-07-20 03:30:00,0,0
2024-07-20 03:35:00,0,0
2024-07-20 03:40:00,0,0
2024-07-20 03:45:00,0,0
2024-07-20 03:50:00,0,0
2024-07-20 03:55:00,0,0
2024-07-20 04:00:00,0,9
2024-07-20 04:10:00,0,10
2024-07-20 04:15:00,0,10
2024-07-20 04:20:00,0,10
2024-07-20 04:25:00,0,10
2024-07-20 04:30:00,0,10
2024-07-20 04:35:00,0,10
2024-07-20 04:40:00,0,10
2024-07-20 04:45:00,0,10
2024-07-20 04:50:00,0,10
2024-07-20 04:55:00,0,10
2024-07-20 05:00:00,0,10
2024-07-20 05:05:00,0,10
2024-07-20 05:10:00,0,10
2024-07-20 05:15:00,0,10
2024-07-20 05:20:00,0,10
2024-07-20 05:25:00,0,10
2024-07-20 05:30:00,0,10
2024-07-20 05:35:00,0,10
2024-07-20 05:40:00,0,10
2024-07-20 05:45:00,0,10
2024-07-20 05:50:00,0,10
2024-07-20 05:55:00,0,10
2024-07-20 06:00:00,0,10
2024-07-20 06:05:00,0,10
2024-07-20 06:10:00,22,10
2024-07-20 06:15:00,123,29
2024-07-20 06:20:00,163,147
2024-07-20 06:25:00,207,193
2024-07-20 06:30:00,260,245
2024-07-20 06:35:00,463,382
2024-07-20 06:40:00,764,714
2024-07-20 06:45:00,983,961
2024-07-20 06:50:00,1097,1104
2024-07-20 06:55:00,1175,1186
2024-07-20 07:00:00,1311,1284
2024-07-20 07:05:00,1383,1386
2024-07-20 07:10:00,1546,1547
2024-07-20 07:15:00,1685,1702
2024-07-20 07:20:00,1808,1807
2024-07-20 07:25:00,1903,1903
2024-07-20 07:30:00,1985,1990
2024-07-20 07:35:00,2068,2104
2024-07-20 07:40:00,2156,1473
2024-07-20 07:45:00,2255,759
2024-07-20 07:50:00,2317,200
2024-07-20 07:55:00,2159,264
2024-07-20 08:00:00,2534,232
2024-07-20 08:05:00,2610,344
2024-07-20 08:10:00,2671,428
2024-07-20 08:15:00,2742,509
2024-07-20 08:20:00,2802,2413
2024-07-20 08:25:00,2873,556
2024-07-20 08:30:00,2929,293
2024-07-20 08:35:00,2992,275
2024-07-20 08:40:00,3052,187
2024-07-20 08:45:00,3104,152
2024-07-20 08:50:00,3146,153
2024-07-20 08:55:00,3205,151
2024-07-20 09:00:00,3233,146
2024-07-20 09:05:00,3266,186
2024-07-20 09:10:00,3298,187
2024-07-20 09:15:00,3296,184
2024-07-20 09:20:00,3303,183
2024-07-20 09:25:00,3336,190
2024-07-20 09:30:00,3349,190
2024-07-20 09:35:00,3370,211
2024-07-20 09:40:00,3383,192
2024-07-20 09:45:00,3411,171
2024-07-20 09:50:00,3438,273
2024-07-20 09:55:00,3459,205
2024-07-20 10:00:00,3479,179
2024-07-20 10:05:00,3514,175
2024-07-20 10:10:00,3539,150
2024-07-20 10:15:00,3549,155
2024-07-20 10:20:00,3586,179
2024-07-20 10:25:00,3660,180
2024-07-20 10:30:00,3712,112
2024-07-20 10:35:00,3764,95
2024-07-20 10:40:00,3817,80
2024-07-20 10:45:00,3896,80
2024-07-20 10:50:00,3981,80
2024-07-20 10:55:00,4054,81
2024-07-20 11:00:00,4120,134
2024-07-20 11:05:00,4174,168
2024-07-20 11:10:00,4234,156
2024-07-20 11:15:00,4310,156
2024-07-20 11:20:00,4387,164
2024-07-20 11:25:00,4448,185
2024-07-20 11:30:00,4505,186
2024-07-20 11:35:00,4577,172
2024-07-20 11:40:00,4658,150
2024-07-20 11:45:00,4714,150
2024-07-20 11:50:00,4781,150
2024-07-20 11:55:00,4826,150
2024-07-20 12:00:00,4887,144
2024-07-20 12:05:00,4952,101
2024-07-20 12:10:00,4994,86
2024-07-20 12:15:00,5043,80
2024-07-20 12:20:00,5098,90
2024-07-20 12:25:00,5156,157
2024-07-20 12:30:00,5189,180
2024-07-20 12:35:00,5236,142
2024-07-20 12:40:00,5268,80
2024-07-20 12:45:00,5306,80
2024-07-20 12:50:00,5328,80
2024-07-20 12:55:00,5380,80
2024-07-20 13:00:00,5427,80
2024-07-20 13:05:00,5456,102
2024-07-20 13:10:00,5479,166
2024-07-20 13:15:00,5474,170
2024-07-20 13:20:00,5494,855
2024-07-20 13:25:00,5554,196
2024-07-20 13:30:00,5562,185
2024-07-20 13:35:00,5561,187
2024-07-20 13:40:00,5523,164
2024-07-20 13:45:00,5525,278
2024-07-20 13:50:00,5530,340
2024-07-20 13:55:00,5549,362
2024-07-20 14:00:00,5529,366
2024-07-20 14:05:00,5518,373
2024-07-20 14:10:00,5514,348
2024-07-20 14:15:00,5473,351
2024-07-20 14:20:00,5470,386
2024-07-20 14:25:00,5490,441
2024-07-20 14:30:00,5496,439
2024-07-20 14:35:00,5444,344
2024-07-20 14:40:00,5438,339
2024-07-20 14:45:00,5411,241
2024-07-20 14:50:00,5368,131
2024-07-20 14:55:00,5236,90
2024-07-20 15:00:00,5228,90
2024-07-20 15:05:00,5191,112
2024-07-20 15:10:00,5177,171
2024-07-20 15:15:00,5056,168
2024-07-20 15:20:00,5039,160
2024-07-20 15:25:00,5011,194
2024-07-20 15:30:00,4980,290
2024-07-20 15:35:00,4917,325
2024-07-20 15:40:00,4851,326
2024-07-20 15:45:00,4789,306
2024-07-20 15:50:00,4729,291
2024-07-20 15:55:00,4631,294
2024-07-20 16:00:00,4619,290
2024-07-20 16:05:00,4558,236
2024-07-20 16:10:00,4461,226
2024-07-20 16:15:00,4376,208
